,channel_id,video_id,video_title,video_pub_date,video_description,video_thumbnail,video_view_count,video_like_count,video_comment_count,video_fav_count,video_duration,video_type,most_views,well_performers
0,UCR9j1jqqB5Rse69wjUnbYwA,IgcBuXFE6QE,From OpenAI to Open Source in 5 Minutes Tutorial (LM Studio + Python),2024-01-03,From OpenAI to Open Source in 5 Minutes Tutorial (LM Studio + Python) Become a member and get access to GitHub: ...,https://i.ytimg.com/vi/IgcBuXFE6QE/hqdefault.jpg,2695,207,16,0,PT8M18S,rectangular,137980.90000000005,False
1,UCR9j1jqqB5Rse69wjUnbYwA,jR7ypjFQ7Cs,"Random AI LLM Programming (Self Prompting, GPT Streaming API, AutoSnake ++)",2023-12-31,"Random AI Programming (Self Prompting, GPT Streaming, AutoSnake ++) Become a member and get access to GitHub: ...",https://i.ytimg.com/vi/jR7ypjFQ7Cs/hqdefault.jpg,3520,147,9,0,PT12M38S,rectangular,137980.90000000005,False
2,UCR9j1jqqB5Rse69wjUnbYwA,rVSC3VwK6TU,"Autonomous AI Video Clip Generator (GPT-4 API, Whisper, PyTube ++)",2023-12-26,"Autonomous AI Video Clip Generator (GPT-4 API, Whisper, PyTube ++) Become a member and get access to GitHub: ...",https://i.ytimg.com/vi/rVSC3VwK6TU/hqdefault.jpg,4737,201,11,0,PT11M38S,rectangular,137980.90000000005,False
3,UCR9j1jqqB5Rse69wjUnbYwA,WdgtSgsf1GU,Will AI Kill Traditional Web Scraping? (GPT4V + Mistral Medium Project),2023-12-20,Will AI Kill Traditional Web Scraping? (GPT4V + Mistral Medium Project) Become a member and get access to GitHub: ...,https://i.ytimg.com/vi/WdgtSgsf1GU/hqdefault.jpg,6112,233,17,0,PT12M12S,rectangular,137980.90000000005,False
4,UCR9j1jqqB5Rse69wjUnbYwA,CBDgvfe_nHw,How to Create an AI Influencer (For Free),2023-12-17,How to Create an AI Influencer (For Free) HubSpot FREE E-book: https://clickhubspot.com/qzg Become a member and get ...,https://i.ytimg.com/vi/CBDgvfe_nHw/hqdefault.jpg,7782,356,47,0,PT11M1S,rectangular,137980.90000000005,False
5,UCR9j1jqqB5Rse69wjUnbYwA,ZJpncm52weQ,GPT-4.5 Rumors Confirmed? Pricing Leaks?,2023-12-17,GPT-4.5 Rumor Confirmed? Speculating on the GPT-4.5 Rumors and Pricing Leaks.,https://i.ytimg.com/vi/ZJpncm52weQ/hqdefault.jpg,3581,92,13,0,PT2M23S,rectangular,137980.90000000005,False
6,UCR9j1jqqB5Rse69wjUnbYwA,3gJxpfhLljM,Mistral AI API - Mixtral 8x7B and Mistral Medium | Tests and First Impression,2023-12-14,Mistral AI API - Mixtral 8x7B and Mistral Medium | Tests and First Impression Become a member and get access to GitHub: ...,https://i.ytimg.com/vi/3gJxpfhLljM/hqdefault.jpg,14492,335,32,0,PT13M53S,rectangular,137980.90000000005,False
7,UCR9j1jqqB5Rse69wjUnbYwA,u2diEa4VT4M,Mistral 7b x GPT-4 Vision (Step-by-Step Python Tutorial),2023-12-11,Mistral 7b x GPT-4 Vision (Step-by-Step Python Tutorial) Become a member and get access to GitHub: ...,https://i.ytimg.com/vi/u2diEa4VT4M/hqdefault.jpg,5826,214,17,0,PT11M26S,rectangular,137980.90000000005,False
8,UCR9j1jqqB5Rse69wjUnbYwA,tnV00OqLbAw,5 LLM Security Threats- The Future of Hacking?,2023-12-06,5 LLM Security Threats- The Future of Hacking? Become a member and get access to GitHub: ...,https://i.ytimg.com/vi/tnV00OqLbAw/hqdefault.jpg,2957,118,9,0,PT14M1S,rectangular,137980.90000000005,False
9,UCR9j1jqqB5Rse69wjUnbYwA,7wTLUGQlvD0,OpenAI Parallel Function Calling with Assitants API - WOW!!,2023-11-30,OpenAI Parallel Function Calling with Assitants API - WOW!! Become a member and get access to GitHub: ...,https://i.ytimg.com/vi/7wTLUGQlvD0/hqdefault.jpg,7068,211,20,0,PT16M39S,rectangular,137980.90000000005,False
10,UCpV_X0VrL8-jg3t6wYGS-1g,83dQ-heP-Gc,Top 10 AI Accelerations OF 2023,2023-12-31,My Top 10 AI Moments Llama & Llama 2 Llama CPP Stanford Alpaca: An Instruction-following LLaMA Model r/LocalLlama Falcon ...,https://i.ytimg.com/vi/83dQ-heP-Gc/hqdefault.jpg,2300,149,31,0,PT24M35S,rectangular,137980.90000000005,False
