,channel_id,video_id,video_title,video_pub_date,video_description,video_thumbnail,video_view_count,video_like_count,video_comment_count,video_fav_count,video_duration,video_type,most_views,well_performers
24,UCvKRFNawVcuz4b9ihUTApCg,QsD-LV7y-HE,IMF Report: AGI destroys all jobs within 5 to 20 years! Frontier of Automation expands beyond humans,2023-12-18,Patreon: https://www.patreon.com/daveshap (Discord via Patreon) Substack: https://daveshap.substack.com/ (Free Mailing List) ...,https://i.ytimg.com/vi/QsD-LV7y-HE/hqdefault.jpg,157418,5733,1353,0,PT18M39S,rectangular,137980.90000000005,True
29,UCvKRFNawVcuz4b9ihUTApCg,FWO9OJUeouE,10 AI Predictions for 2024 - Trends today - What I&#39;m looking forward to next year!,2023-12-02,Patreon: https://www.patreon.com/daveshap (Discord via Patreon) Substack: https://daveshap.substack.com/ (Free Mailing List) ...,https://i.ytimg.com/vi/FWO9OJUeouE/hqdefault.jpg,202524,6881,833,0,PT26M28S,rectangular,137980.90000000005,True
44,UCNJ1Ymd5yFuUPtn21xtRbbw,toShbNUGAyo,Gemini Full Breakdown + AlphaCode 2 Bombshell,2023-12-06,"Gemini is here! All 60 pages of the technical report read, plus the AlphaCode 2 bombshell paper explained and analysed.",https://i.ytimg.com/vi/toShbNUGAyo/hqdefault.jpg,140839,6655,672,0,PT19M44S,rectangular,137980.90000000005,True
46,UCNJ1Ymd5yFuUPtn21xtRbbw,ARf0WyFau0A,Q* - Clues to the Puzzle?,2023-11-24,"Are these some clues to the Q* (Q star) mystery? Featuring barely noticed references, YouTube videos, article exclusives and ...",https://i.ytimg.com/vi/ARf0WyFau0A/hqdefault.jpg,220751,9139,991,0,PT27M45S,rectangular,137980.90000000005,True
48,UCNJ1Ymd5yFuUPtn21xtRbbw,dyakih3oYpk,"Altman@Microsoft, Shear@OpenAI, Chaos@Everywhere: Sutskever Regret and the Weekend That Changed AI",2023-11-20,"The implosion of OpenAI, a new AGI lab, Sutskever regret and a radical new CEO, the last 48 hours have altered the course of ...",https://i.ytimg.com/vi/dyakih3oYpk/hqdefault.jpg,166541,5995,1157,0,PT17M22S,rectangular,137980.90000000005,True
49,UCNJ1Ymd5yFuUPtn21xtRbbw,AVmiEtbJyuw,"Altman Out: Reasons, Reactions and the Repercussions for the Industry",2023-11-18,"What caused the face of ChatGPT and OpenAI to be fired in a 15-minute Meets call? This video, a one-off from my normal videos, ...",https://i.ytimg.com/vi/AVmiEtbJyuw/hqdefault.jpg,156436,5325,908,0,PT14M42S,rectangular,137980.90000000005,True
60,UCXUPKJO5MZQN11PqgIvyuvQ,zjkBMFhNj_g,[1hr Talk] Intro to Large Language Models,2023-11-23,This is a 1 hour general-audience introduction to Large Language Models: the core technical component behind systems like ...,https://i.ytimg.com/vi/zjkBMFhNj_g/hqdefault.jpg,1147723,46036,1338,0,PT59M48S,rectangular,137980.90000000005,True
61,UCXUPKJO5MZQN11PqgIvyuvQ,kCc8FmEb1nY,"Let&#39;s build GPT: from scratch, in code, spelled out.",2023-01-17,"We build a Generatively Pretrained Transformer (GPT), following the paper ""Attention is All You Need"" and OpenAI's GPT-2 ...",https://i.ytimg.com/vi/kCc8FmEb1nY/hqdefault.jpg,3611117,84783,2081,0,PT1H56M20S,rectangular,137980.90000000005,True
64,UCXUPKJO5MZQN11PqgIvyuvQ,P6sfmUTpUmc,"Building makemore Part 3: Activations &amp; Gradients, BatchNorm",2022-10-04,"We dive into some of the internals of MLPs with multiple layers and scrutinize the statistics of the forward pass activations, ...",https://i.ytimg.com/vi/P6sfmUTpUmc/hqdefault.jpg,190788,4115,264,0,PT1H55M58S,rectangular,137980.90000000005,True
65,UCXUPKJO5MZQN11PqgIvyuvQ,TCH_1BHY58I,Building makemore Part 2: MLP,2022-09-12,We implement a multilayer perceptron (MLP) character-level language model. In this video we also introduce many basics of ...,https://i.ytimg.com/vi/TCH_1BHY58I/hqdefault.jpg,216492,4439,300,0,PT1H15M40S,rectangular,137980.90000000005,True
66,UCXUPKJO5MZQN11PqgIvyuvQ,PaCmpygFfXo,The spelled-out intro to language modeling: building makemore,2022-09-07,"We implement a bigram character-level language model, which we will further complexify in followup videos into a modern ...",https://i.ytimg.com/vi/PaCmpygFfXo/hqdefault.jpg,455776,9390,571,0,PT1H57M45S,rectangular,137980.90000000005,True
131,UC68KSmHePPePCjW4v57VPQg,TDYa2pPMx0k,You&#39;re Not Stupid: A Science Based System to Learn Anything,2023-10-31,Visit https://brilliant.org/PythonProgrammer/ to get started for free and get 20% off your annual subscription. Thanks to Brilliant for ...,https://i.ytimg.com/vi/TDYa2pPMx0k/hqdefault.jpg,500282,33906,410,0,PT10M40S,rectangular,137980.90000000005,True
132,UC68KSmHePPePCjW4v57VPQg,QXIa0NAycGo,You&#39;re not stupid: How to learn difficult things with Obsidian,2023-09-29,Visit https://brilliant.org/PythonProgrammer/ to get started for free and get 20% off your annual subscription. Thanks to Brilliant for ...,https://i.ytimg.com/vi/QXIa0NAycGo/hqdefault.jpg,163258,5644,165,0,PT6M16S,rectangular,137980.90000000005,True
135,UC68KSmHePPePCjW4v57VPQg,yNYflGw6kJI,Stanford&#39;s FREE data science book and course are the best yet,2023-07-31,Visit https://brilliant.org/PythonProgrammer/ to get started for free and get 20% off your annual subscription. Thanks to Brilliant for ...,https://i.ytimg.com/vi/yNYflGw6kJI/hqdefault.jpg,451564,17898,258,0,PT4M52S,rectangular,137980.90000000005,True
138,UC68KSmHePPePCjW4v57VPQg,Egg_5752XRs,5 Courses to master ChatGPT &amp; Prompt engineering (100x your productivity),2023-06-30,Visit https://brilliant.org/PythonProgrammer/ to get started for free and get 20% off your annual subscription. Thanks to Brilliant for ...,https://i.ytimg.com/vi/Egg_5752XRs/hqdefault.jpg,174855,1786,24,0,PT5M12S,rectangular,137980.90000000005,True
165,UC4JX40jDee_tINbkjycV4Sg,U80grnZJm_8,Avoid This Common Programming Mistake!,2023-07-23,"Watch the full video here: https://youtu.be/ZF2_JKNcDek What is something that a lot of programmers do, that is causing their ...",https://i.ytimg.com/vi/U80grnZJm_8/hqdefault.jpg,228576,11372,97,0,PT53S,rectangular,137980.90000000005,True
177,UCqcbQf6yw5KzRoDDcZ_wBSw,QMhLUD7NbCc,"Tesla Bot Optimus Gen 2 is Stunning, but it&#39;s just the beginning... | NVIDIA Eureka and Google RT-X",2023-12-13,"Get on my daily AI newsletter https://natural20.beehiiv.com/subscribe [News, Research and Tutorials on AI] See more at: ...",https://i.ytimg.com/vi/QMhLUD7NbCc/hqdefault.jpg,175080,3641,569,0,PT12M4S,rectangular,137980.90000000005,True
258,UCXIa1dlKtpeCEBHObZFQgsA,QdDoFfkVkcw,$0 Embeddings (OpenAI vs. free &amp; open source),2023-06-25,What is the cheapest way to generate text embeddings? And how do they compare to OpenAI? To try everything Brilliant has to ...,https://i.ytimg.com/vi/QdDoFfkVkcw/hqdefault.jpg,196557,5989,236,0,PT1H24M42S,rectangular,137980.90000000005,True
259,UCXIa1dlKtpeCEBHObZFQgsA,Yhtjd7yGGGA,ClippyGPT - How I Built Supabase’s OpenAI Doc Search (Embeddings),2023-02-07,Supabase hired me to build ClippyGPT - their next generation doc search. We can ask our old friend Clippy anything you want ...,https://i.ytimg.com/vi/Yhtjd7yGGGA/hqdefault.jpg,165466,5054,336,0,PT41M52S,rectangular,137980.90000000005,True
268,UC2Xd-TjJByJyK2w1zNwY0zQ,lsXqparnx24,Mind-blowing page animations are easy now... View Transitions API first look,2023-08-13,Learn about the new View Transitions API in Astro and how it can add awesome route animations to your website.,https://i.ytimg.com/vi/lsXqparnx24/hqdefault.jpg,205984,9967,340,0,PT5M1S,rectangular,137980.90000000005,True
269,UC2Xd-TjJByJyK2w1zNwY0zQ,-JE8P2TiJEg,PROOF JavaScript is a Multi-Threaded language,2023-08-04,Learn the basics of parallelism and concurrency in JavaScript by experimenting with Node.js Worker Threads and browser Web ...,https://i.ytimg.com/vi/-JE8P2TiJEg/hqdefault.jpg,228614,14664,526,0,PT8M21S,rectangular,137980.90000000005,True
270,UC2Xd-TjJByJyK2w1zNwY0zQ,yfBtjLxn_6k,How GitHub Actions 10x my productivity,2023-07-31,"Learn how to use GitHub actions continuous integration and delivery in a software development project. In this quick tutorial, we ...",https://i.ytimg.com/vi/yfBtjLxn_6k/hqdefault.jpg,300749,13489,253,0,PT8M18S,rectangular,137980.90000000005,True
271,UC2Xd-TjJByJyK2w1zNwY0zQ,MnpuK0MK4yo,React VS Svelte...10 Examples,2023-06-30,The ultimate guide to Svelte for React.js Developers with 10 code examples for both JavaScript frameworks. Find out if SvelteKit is ...,https://i.ytimg.com/vi/MnpuK0MK4yo/hqdefault.jpg,431485,19020,1001,0,PT8M35S,rectangular,137980.90000000005,True
273,UC2Xd-TjJByJyK2w1zNwY0zQ,4QN1BzxF8wM,I tried 8 different Postgres ORMs,2023-05-25,Let's compare 8 ways to work with SQL databases in a JavaScript project like Node.js or Next.js. Analyze the pros and cons of ...,https://i.ytimg.com/vi/4QN1BzxF8wM/hqdefault.jpg,323387,10915,662,0,PT9M46S,rectangular,137980.90000000005,True
274,UC2Xd-TjJByJyK2w1zNwY0zQ,-uN1Q98UMO4,Most overpowered way to build mobile apps?,2023-05-15,Learn how to use FlutterFlow to build iOS and Android apps quickly. It is a low-code Flutter tool with integrations for Firebase that ...,https://i.ytimg.com/vi/-uN1Q98UMO4/hqdefault.jpg,496298,20409,506,0,PT8M33S,rectangular,137980.90000000005,True
275,UC2Xd-TjJByJyK2w1zNwY0zQ,shWEfRlmb6g,I built a fullstack PaLM AI app in just 2 minutes,2023-05-12,"Learn how to use Google's new PaLM 2 AI model with Firebase and SvelteKit. In this tutorial, we build and deploy a fullstack ...",https://i.ytimg.com/vi/shWEfRlmb6g/hqdefault.jpg,169687,7472,191,0,PT3M28S,rectangular,137980.90000000005,True
276,UC2Xd-TjJByJyK2w1zNwY0zQ,0fONene3OIA,The ultimate guide to web performance,2023-05-08,"Learn how to analyze and optimize the performance of any website. In this tutorial, we explore tips and tricks to build faster UIs ...",https://i.ytimg.com/vi/0fONene3OIA/hqdefault.jpg,338940,21742,317,0,PT6M43S,rectangular,137980.90000000005,True
277,UC2Xd-TjJByJyK2w1zNwY0zQ,O94ESaJtHtM,Next.js Server Actions...  5 awesome things you can do,2023-05-05,A full tutorial and breakdown of the new Next.js Server Actions feature. Learn how to handle form submissions and implement ...,https://i.ytimg.com/vi/O94ESaJtHtM/hqdefault.jpg,215794,9079,385,0,PT7M51S,rectangular,137980.90000000005,True
